metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,rl_only,0.47371428571428564,0.05889160869210505,0.4577142857142856,0.49028571428571416,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428574,0.2765714285714286,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,hybrid,0.7358874980511064,0.061571592061282175,0.7189237578113178,0.7524262342569137,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15913690124159627,0.20731613204188348,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012687247338093914,0.034866259587052924,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,rl_only,0.5396409435641867,0.0582747444192998,0.5237467910106576,0.5556923320291646,50
ndcg_at_7,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,hidden30_only,0.2,implemented_r0,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2542346222554255,0.29368998513305294,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,hidden30_only,0.2,inclusive_range_fix,mandatory_factorial,hybrid,0.6542857142857144,0.07420268964366468,0.6342857142857143,0.6748571428571427,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,hidden30_only,0.2,inclusive_range_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.17257142857142857,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,hidden30_only,0.2,inclusive_range_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,hidden30_only,0.2,inclusive_range_fix,mandatory_factorial,rl_only,0.4639999999999999,0.06745445962486073,0.4457142857142856,0.48228571428571426,50
